Gene_symbol	Ensembl_ID	dataset	model	aic	r2	coef_a	coef_b	coef_c	n_points
HDAC5	ENSG00000108840	GSE162694	linear	-30.5149588145208	0.222009576549129	-0.0444876520450476	0.00497694775895499	NA	4
HNF4A	ENSG00000101076	GSE130970	power_law	-36.9841080943618	0.930192372638964	-0.000293125376174212	3.53340230477494	NA	4
HNF4A	ENSG00000101076	GSE135251	linear	-40.7843631247515	0.674511781148791	-0.0012166363483184	-0.00371533760504548	NA	4
HNF4A	ENSG00000101076	GSE162694	power_law	-37.3278183364145	0.578911313449012	-0.0201148629212281	0.371043148636647	NA	4
ILK	ENSG00000166333	GSE130970	power_law	-39.3008386947716	0.925060967583219	0.000205770534487953	3.7076344899265	NA	4
ILK	ENSG00000166333	GSE135251	power_law	-44.1163279923473	0.101794150192462	0.0016526826185637	0.423562868015949	NA	4
ILK	ENSG00000166333	GSE162694	power_law	-31.3664061823315	0.899173214835838	7.44440320519266e-07	8.15276594675436	NA	4
ITGA5	ENSG00000161638	GSE130970	linear	-42.6820915551135	0.742514075295138	0.00473855973888933	-0.00345720494714121	NA	4
ITGA5	ENSG00000161638	GSE135251	linear	-34.1890105818606	0.000569302242224809	-0.00469921522856777	0.000140477544450828	NA	4
ITGA5	ENSG00000161638	GSE162694	linear	-30.7101899259088	0.452047637254277	-0.0248794876683843	0.00825822248510336	NA	4
ITGB1	ENSG00000150093	GSE130970	power_law	-39.4209229998944	0.963249087341564	0.001241371456347	2.67820444813193	NA	4
ITGB1	ENSG00000150093	GSE135251	linear	-38.9194630347115	0.751595994206163	0.020054496023518	-0.00566791800117942	NA	4
ITGB1	ENSG00000150093	GSE162694	power_law	-39.3361360838782	0.979991509332452	0.000507042367415333	3.48675538994392	NA	4
KDM1A	ENSG00000004487	GSE130970	linear	-34.3985119110195	0.147020368599687	0.00257800478049581	0.0023804445352898	NA	4
KDM1A	ENSG00000004487	GSE135251	linear	-49.5981515129969	0.476676994585389	-0.00520034057715722	-0.000818513554248464	NA	4
KDM1A	ENSG00000004487	GSE162694	power_law	-32.5089469303423	0.376886666003388	1.02405462502777e-09	12.0369447396168	NA	4
KDM4A	ENSG00000066135	GSE130970	linear	-33.6528471919852	0.148674065761455	0.00174024547336666	-0.00263019579945459	NA	4
KDM4A	ENSG00000066135	GSE135251	power_law	-43.6894252435907	0.91879218408034	-8.23094720683177e-05	3.83267467741489	NA	4
KDM4A	ENSG00000066135	GSE162694	power_law	-32.5616741315958	0.874876043693815	-1.31003822036406e-05	5.88012809715226	NA	4
KDM4B	ENSG00000127663	GSE130970	power_law	-35.2691198783532	0.74147117619972	-0.00168064708462061	2.18060561819687	NA	4
KDM4B	ENSG00000127663	GSE135251	power_law	-33.158020063227	0.645802761965098	-0.00391698113838807	1.56061429094748	NA	4
