dataset	Ensembl_ID	Gene_symbol	histology_group	stage	mean_expr	sd_expr	n_samples
GSE130970	ENSG00000065534	MYLK	F2	2	12.5270077428173	0.160076381762263	9
GSE130970	ENSG00000065534	MYLK	F3	3	12.3405089734913	0.348266360761992	14
GSE130970	ENSG00000065534	MYLK	F4	4	12.3759371237489	0.321076942924627	2
GSE130970	ENSG00000164867	NOS3	F0	0	7.87420302340882	0.292456664334705	18
GSE130970	ENSG00000164867	NOS3	F1	1	7.98080589964387	0.224763880300032	28
GSE130970	ENSG00000164867	NOS3	F2	2	7.82307023021109	0.163376159811021	9
GSE130970	ENSG00000164867	NOS3	F3	3	7.90437375701593	0.449946229106498	14
GSE130970	ENSG00000164867	NOS3	F4	4	7.93486177279414	0.0186679926323639	2
GSE130970	ENSG00000124789	NUP153	F0	0	10.4945816631308	0.0977027647791235	18
GSE130970	ENSG00000124789	NUP153	F1	1	10.5514208031631	0.110880497058	28
GSE130970	ENSG00000124789	NUP153	F2	2	10.4685451409785	0.0694347307967666	9
GSE130970	ENSG00000124789	NUP153	F3	3	10.5465292572943	0.109735672190525	14
GSE130970	ENSG00000124789	NUP153	F4	4	10.4079963160055	0.0344660542848349	2
GSE130970	ENSG00000213024	NUP62	F0	0	8.86475946951648	0.323561784129641	18
GSE130970	ENSG00000213024	NUP62	F1	1	9.03808942520163	0.404630995934188	28
GSE130970	ENSG00000213024	NUP62	F2	2	8.68126940029335	0.255216757559787	9
GSE130970	ENSG00000213024	NUP62	F3	3	8.87756892116418	0.300621249185522	14
GSE130970	ENSG00000213024	NUP62	F4	4	8.81851197820731	0.196787631157918	2
GSE130970	ENSG00000102900	NUP93	F0	0	8.03367400662207	0.282507385338445	18
GSE130970	ENSG00000102900	NUP93	F1	1	8.11751114627275	0.192724643443371	28
GSE130970	ENSG00000102900	NUP93	F2	2	8.08255859271705	0.15617600242185	9
GSE130970	ENSG00000102900	NUP93	F3	3	8.14242652813799	0.271594187730766	14
GSE130970	ENSG00000102900	NUP93	F4	4	8.3290411767473	0.142467100223805	2
GSE130970	ENSG00000108518	PFN1	F0	0	11.5139535041075	0.263774451420246	18
GSE130970	ENSG00000108518	PFN1	F1	1	11.7006568893739	0.179043125923317	28
GSE130970	ENSG00000108518	PFN1	F2	2	11.5417541833094	0.157762863112765	9
GSE130970	ENSG00000108518	PFN1	F3	3	11.7948307161833	0.402161966618906	14
GSE130970	ENSG00000108518	PFN1	F4	4	11.8275781435988	0.0826690393748024	2
GSE130970	ENSG00000103335	PIEZO1	F0	0	9.6763275000155	0.237162216413296	18
GSE130970	ENSG00000103335	PIEZO1	F1	1	9.79424115496949	0.294199790554287	28
GSE130970	ENSG00000103335	PIEZO1	F2	2	9.76907749243627	0.251910734699484	9
GSE130970	ENSG00000103335	PIEZO1	F3	3	9.71718228266761	0.436941435915117	14
GSE130970	ENSG00000103335	PIEZO1	F4	4	9.84872122316624	0.323018877591703	2
GSE130970	ENSG00000160199	PKNOX1	F0	0	8.77326823951493	0.20814454524525	18
GSE130970	ENSG00000160199	PKNOX1	F1	1	8.77722745644179	0.207439475094872	28
GSE130970	ENSG00000160199	PKNOX1	F2	2	8.76127429340239	0.175882656644988	9
GSE130970	ENSG00000160199	PKNOX1	F3	3	8.58198915446725	0.221325613229785	14
GSE130970	ENSG00000160199	PKNOX1	F4	4	8.7334204262108	0.067991845160061	2
GSE130970	ENSG00000178209	PLEC	F0	0	11.2911353493833	0.346304084358628	18
GSE130970	ENSG00000178209	PLEC	F1	1	11.2559876673378	0.338452589045374	28
GSE130970	ENSG00000178209	PLEC	F2	2	11.1967480083694	0.328894522901692	9
GSE130970	ENSG00000178209	PLEC	F3	3	11.2183291808468	0.404035728033601	14
GSE130970	ENSG00000178209	PLEC	F4	4	11.0911766616872	0.000483878698031952	2
GSE130970	ENSG00000121390	PSPC1	F0	0	9.0956141802727	0.149909512665901	18
