Ensembl_ID	Gene_symbol	baseMean	padj_lrt	sig_lrt	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000197768	STPG3	23.407413499060063	9.716822307791517e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000072832	CRMP1	32.41007971909189	9.731243641297294e-4	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000205089	CCNI2	6.119936365932246	9.741336869383751e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000136274	NACAD	5.468785125227727	9.912235814580794e-4	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000145850	TIMD4	130.3666924346815	9.942156496577873e-4	TRUE	1	down	3	F3_vs_F0	1	down	F3_vs_F1	baseline_and_strata
ENSG00000151846	PABPC3	4.196363276077564	9.97801013679713e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000162373	BEND5	6.703559253389681	9.982851096481608e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000239474	KLHL41	18.195577422357943	0.0010226540917938562	TRUE	1	up	3	F3_vs_F0	1	up	F3_vs_F2	baseline_and_strata
ENSG00000176406	RIMS2	16.57972699029311	0.0010620353221136962	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000224982	TMEM233	4.406594514977575	0.0010738560894606728	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F3	baseline_and_strata
ENSG00000145244	CORIN	77.9302922624138	0.0010819669119429777	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000174225	ARL13A	6.529475758167537	0.001087197524311524	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000188730	VWC2	7.324552368714473	0.0010916598990196632	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000113212	PCDHB7	7.804659004822992	0.0010926666890242072	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F2	baseline_and_strata
ENSG00000147655	RSPO2	9.712404951963826	0.0011127348848682145	TRUE	1	down	4	F4_vs_F0	3	down	F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000116141	MARK1	31.411152590075236	0.0011155902421727374	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000169282	KCNAB1	94.29171386451887	0.0011216081206516665	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000105613	MAST1	26.085383545870386	0.0011762773693050946	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000140945	CDH13	48.279227657224254	0.0012152084685544727	TRUE	1	up	4	F4_vs_F0	3	up	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000185942	NKAIN3	13.767781235380596	0.0012271527291912159	TRUE	2	down	3	F3_vs_F0,F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000124469	CEACAM8	13.770798174567888	0.0012293509644460004	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000157330	CFAP107	23.002568162989164	0.0012415430665584286	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000187010	RHD	66.48007339886722	0.001252089439676989	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000137648	TMPRSS4	44.963176678270685	0.0012748158699577782	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000080166	DCT	17.1321216896028	0.0013214178899326587	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000139985	ADAM21	15.751724555278567	0.001329371587693948	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000183378	OVCH2	5.7519856287228865	0.0013636318810412117	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000264743	DPRXP4	6.9506086538511695	0.0013739824606389056	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000182575	NXPH3	6.7943506125596	0.0014043684885117168	TRUE	1	down	2	F2_vs_F0	1	up	F4_vs_F2	baseline_and_strata
ENSG00000182667	NTM	12.713665800928165	0.0014160625253437174	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	1	up	F3_vs_F1	baseline_and_strata
ENSG00000172940	SLC22A13	4.381548716094266	0.0014940190575064773	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000253626	EIF5AL1	44.93230889547125	0.0015383332636321671	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000172236	TPSAB1	23.18841705978668	0.0015534543843828525	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000182793	GSTA5	1.4592943602968966	0.0015708514602025708	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000172478	MAB21L4	399.55113219997247	0.001571267042103203	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000176601	MAP3K19	9.604349619761557	0.0015766188302130436	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000204086	RPA4	13.920729791159303	0.0015947689087444262	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000113100	CDH9	6.8191891276116205	0.001690613399876384	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000163501	IHH	33.35592527368752	0.0017285650105317762	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000154146	NRGN	10.22908299875737	0.0017294697828031688	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000163380	LMOD3	12.929857627117297	0.001731521826176004	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000105141	CASP14	14.58243788792773	0.0017661107348421897	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000151962	RBM46	4.854322555289989	0.0017807321607753255	TRUE	1	up	3	F3_vs_F0	2	up	F3_vs_F1,F3_vs_F2	baseline_and_strata
ENSG00000185306	C12orf56	4.264928849661746	0.0017810585004246365	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F2	baseline_and_strata
